dataset,openml_id,alpha,alpha_r2,alpha_ci_low,alpha_ci_high,fisher_ratio,silhouette,delta,intrinsic_dim,linear_probe_difficulty,label_noise,class_entropy,class_imbalance,n_samples,n_features,n_classes,elapsed_s
blood-transfusion,1464,0.073224,0.4927,-0.013702,0.128657,0.047828,0.555384,0.026563,1.784875,0.549544,0.277273,0.548726,3.184358,748,4,2,8.4
banknote-authentication,1462,1.179378,0.9752,0.845299,1.355388,0.163867,0.583156,0.09556,2.984354,0.07315,0.002041,0.686998,1.247136,1372,4,2,9.2
bank-marketing,1461,0.061653,0.7006,0.025771,0.090696,0.008184,0.647816,0.005302,5.843069,0.269253,0.141775,0.356588,7.696739,8000,16,2,52.0
eeg-eye-state,1471,0.394375,0.9835,0.367564,0.452374,0.000176,0.506688,8.9e-05,5.371512,0.642344,0.08995,0.68884,1.204132,8000,14,2,53.9
electricity,151,0.096592,0.9927,0.085312,0.10318,0.005494,0.531767,0.002922,3.399659,0.507577,0.255625,0.681627,1.356701,8000,8,2,52.7
magic-telescope,1120,0.073214,0.9491,0.060768,0.095804,0.046965,0.561285,0.026361,6.299978,0.459346,0.212975,0.646591,1.867742,8000,10,2,59.7
qsar-biodeg,1494,0.235527,0.7539,0.030804,0.326034,0.014294,0.542986,0.007762,2.856884,0.373024,0.236398,0.639323,1.957983,1055,41,2,10.8
phoneme,1489,0.114563,0.9866,0.095292,0.122726,0.058207,0.550588,0.032048,1.628469,0.471004,0.155218,0.605244,2.405797,5404,5,2,40.5
ozone,1487,-0.208439,0.6449,-0.375533,-0.085607,0.005161,0.347953,0.001796,12.115881,0.173817,0.081215,0.235525,14.745342,2534,72,2,22.8
hill-valley,1479,0.043165,0.474,-0.007418,0.076873,0.000876,0.500509,0.000438,9.096874,0.562211,0.486469,0.693147,0.998353,1212,100,2,11.5
wall-robot-navigation,1497,0.397653,0.9756,0.353043,0.499764,0.111538,0.493567,0.055051,1.914689,0.76587,0.165323,1.188493,6.702128,5456,24,4,40.6
cnae-9,1468,0.319861,0.9248,0.173151,0.394281,0.30446,0.532041,0.161985,4.170587,0.342942,0.258148,2.197225,0.991736,1080,100,9,16.6
cardiotocography,1466,1.882031,0.9854,1.495032,2.070826,0.050264,0.421559,0.021189,2.417471,0.333449,0.145437,2.019385,10.722222,2126,35,10,13.5
kc2,1063,0.353467,0.7809,0.038356,0.465569,0.069074,0.763927,0.052768,1.647555,0.613591,0.199234,0.50723,3.842593,522,21,2,6.7
kc1,1067,0.136832,0.8424,0.076544,0.191617,0.085802,0.734238,0.062999,1.493902,0.362232,0.220199,0.430565,5.452599,2109,21,2,16.7
breast-w,15,0.231726,0.8743,0.165843,0.343043,0.768181,0.765224,0.587831,5.833178,0.096546,0.051502,0.644154,1.892562,699,9,2,7.8
pc1,1068,0.187487,0.6443,0.018524,0.270159,0.019362,0.763208,0.014777,1.40592,0.296336,0.095942,0.252167,13.230769,1109,21,2,10.6
haberman,43,0.116622,0.7544,0.038359,0.168446,0.072356,0.585368,0.042355,2.66188,0.646904,0.327451,0.577922,2.743902,306,3,2,4.8
ecoli,40671,0.16437,0.9367,0.131066,0.203874,1.234601,0.627557,0.774782,4.471043,0.424875,0.19633,1.404712,6.809524,327,7,5,5.3
diabetes,37,0.155942,0.8383,0.051616,0.204419,0.05763,0.54557,0.031441,5.834343,0.482838,0.319531,0.646799,1.858736,768,8,2,8.5
heart-statlog,53,0.098057,0.3341,-0.09047,0.343378,0.138205,0.559433,0.077317,6.115169,0.408754,0.23037,0.686962,1.239669,270,13,2,5.0
ilpd,1480,0.112355,0.7971,0.074868,0.179235,0.033619,0.438187,0.014731,5.067704,0.51461,0.335163,0.598942,2.47619,583,10,2,7.1
yeast,181,0.120803,0.8277,0.063108,0.163753,0.274011,0.479203,0.131307,4.806632,1.112197,0.524528,1.726226,77.166667,1484,8,10,13.4
dermatology,35,0.186116,0.781,0.061972,0.26986,1.463344,0.612618,0.896472,8.147326,0.0897,0.060656,1.686148,5.333333,366,34,6,6.3
liver-disorders,8,0.258349,0.9413,0.14487,0.316446,0.078274,0.426709,0.0334,4.505251,2.110964,0.835928,2.065589,15.428571,334,5,11,5.4
balance-scale,11,0.512189,0.9368,0.410254,0.690896,0.203844,0.544415,0.110976,4.0,0.402943,0.2176,0.913649,5.76,625,4,3,7.1
arrhythmia,5,0.49778,0.9726,0.437137,0.555001,0.20733,0.488462,0.101273,5.717158,2.171645,0.47088,1.577099,40.833333,443,100,10,10.1
credit-g,31,0.088982,0.3544,-0.073226,0.157348,0.015441,0.51298,0.007921,7.136625,0.560829,0.341,0.610864,2.325581,1000,20,2,10.2
glass,41,0.354721,0.9578,0.229183,0.427004,0.269204,0.477214,0.128468,3.925853,0.97525,0.364486,1.508658,7.6,214,9,6,4.7
kr-vs-kp,3,0.739513,0.9897,0.644642,0.799451,0.031924,0.51689,0.016501,2.883941,0.292437,0.11433,0.69216,1.092277,3196,36,2,16.2
nursery,26,0.797656,0.9825,0.711185,0.874366,0.087214,0.501993,0.043781,3.046905,0.470176,0.19945,1.189725,12.826087,8000,8,4,68.4
mushroom,24,1.692653,0.9955,1.540627,1.777419,0.058959,0.538958,0.031776,2.386536,0.142954,0.0002,0.692543,1.071724,8000,22,2,18.7
segment,36,0.559106,0.9462,0.476748,0.752883,0.04256,0.49342,0.021,2.032411,0.21567,0.093506,1.94591,0.996979,2310,19,7,21.3
soybean,42,1.277213,0.9466,0.693476,1.527355,1.356708,0.58284,0.790744,1.448614,0.345904,0.166618,2.658572,10.222222,683,35,19,8.8
sonar,40,-0.054539,0.3187,-0.144368,0.01292,0.04937,0.518287,0.025588,11.26725,1.584709,0.223077,0.69088,1.132653,208,60,2,5.3
splice,46,0.296783,0.9118,0.202178,0.373356,0.009203,0.49108,0.004519,4.017661,0.439478,0.49047,1.025976,2.154948,3190,60,3,21.5
vehicle,54,0.282995,0.9461,0.203043,0.327703,0.11424,0.502715,0.05743,6.707297,0.532696,0.321513,1.385647,1.09,846,18,4,9.1
vowel,307,0.992835,0.9636,0.829312,1.302878,0.273673,0.496322,0.13583,2.878079,1.523846,0.106667,2.397895,0.989011,990,12,11,10.2
cmc,23,0.166396,0.9379,0.121296,0.200271,0.036871,0.483274,0.017819,2.600185,0.963537,0.543381,1.066777,1.883234,1473,9,3,11.8
credit-approval,29,0.170162,0.5697,-0.197847,0.293403,0.0354,0.563262,0.019939,4.702344,0.378809,0.247826,0.687069,1.243506,690,15,2,9.0
letter,6,0.531355,0.9982,0.516049,0.566535,0.567421,0.498169,0.282672,3.817661,0.915101,0.1566,3.25694,1.183099,8000,16,26,65.7
mfeat-factors,12,0.421054,0.9267,0.20261,0.513174,1.154261,0.570509,0.658516,4.651233,0.119969,0.0766,2.302585,0.995025,2000,100,10,27.8
mfeat-fourier,14,0.056393,0.4186,-0.058061,0.113008,0.289209,0.516009,0.149235,7.800654,0.518582,0.2493,2.302585,0.995025,2000,76,10,24.4
optdigits,28,0.465621,0.9945,0.415788,0.480672,0.400258,0.511097,0.204571,9.414462,0.125679,0.082491,2.302519,1.030631,5620,64,10,39.1
satimage,182,0.180153,0.979,0.153183,0.199844,2.072902,0.596105,1.235667,11.56345,0.358172,0.112348,1.721335,2.445687,6430,36,6,51.9
waveform-5000,60,-0.212573,0.9016,-0.307884,-0.155372,0.130998,0.520042,0.068124,25.179364,0.307964,0.31736,1.098555,1.022975,5000,40,3,36.2
pendigits,32,0.676915,0.9282,0.329196,0.822335,0.972605,0.574681,0.558938,5.941834,0.199555,0.01215,2.301187,1.170501,8000,16,10,58.7
spambase,44,0.066499,0.2545,-0.02249,0.176701,0.031634,0.558259,0.01766,1.735336,0.30265,0.121061,0.670523,1.536935,4601,57,2,32.5
madelon,1485,-0.164673,0.9104,-0.195518,-0.118518,0.00225,0.501064,0.001127,46.292038,0.718739,0.448308,0.693147,0.999231,2600,100,2,21.6
steel-plates-fault,1504,0.995595,0.932,0.641248,1.23562,0.028607,0.47745,0.013659,4.846204,1.416127,0.145389,0.645398,1.881306,1941,33,2,9.7
hepatitis,55,0.198893,0.7262,0.10173,0.392113,0.105341,0.588357,0.061978,6.813255,0.431496,0.205161,0.509217,3.727273,155,19,2,4.2
autos,9,0.601856,0.9522,0.451522,0.899918,0.115,0.464842,0.053457,1.379385,1.374072,0.409901,1.521072,2.913043,202,25,5,4.9
anneal,2,0.80445,0.8231,0.311651,1.08666,0.172057,0.229398,0.03947,1.113264,0.178383,0.053229,0.82473,76.0,898,38,5,8.6
primary-tumor,171,0.580537,0.8389,0.262107,0.778028,0.279659,0.476873,0.133362,3.248476,1.691351,0.636364,2.421334,12.0,330,17,15,5.8
mfeat-morphological,16,0.485574,0.9864,0.401289,0.532145,0.30444,0.533521,0.162425,5.739932,0.198836,0.0726,2.302585,0.995025,2000,64,10,15.5
mfeat-karhunen,13,0.409414,0.9468,0.235102,0.506096,0.046618,0.540218,0.025184,3.095057,0.577756,0.353147,0.608476,2.337209,286,9,2,4.9
mfeat-zernike,22,0.167094,0.8712,0.055637,0.214573,0.593404,0.530494,0.314797,1.0,0.38785,0.2239,2.302585,0.995025,2000,47,10,18.1
mfeat-pixel,20,0.470569,0.9884,0.439173,0.548157,0.781617,0.566774,0.443001,8.908331,0.185373,0.0502,2.302585,0.995025,2000,100,10,24.9
semeion,1501,0.278638,0.9544,0.21808,0.319499,0.258226,0.519705,0.134202,9.342776,0.613505,0.234777,2.30251,1.038462,1593,100,10,29.6
twonorm,1507,-0.285163,0.9475,-0.380735,-0.22884,0.199928,0.577018,0.115362,17.000222,0.060546,0.056676,0.693147,1.001352,7400,20,2,35.0
libras,299,0.878404,0.9513,0.699123,1.01538,0.649204,0.510651,0.331517,1.0,1.288913,0.317222,2.70805,0.96,360,90,15,9.0
ringnorm,1496,0.168544,0.4817,-0.127547,0.314803,0.019501,0.545801,0.010644,18.612023,0.52333,0.291784,0.6931,1.019372,7400,20,2,33.1
isolet,300,0.171669,0.9762,0.148005,0.197114,1.849988,0.504874,0.93401,10.621262,0.381863,0.26346,3.258096,1.003344,7797,100,26,183.4
PhishingWebsites,1019,0.520563,0.8342,-0.045258,0.704049,0.055375,0.494003,0.027355,5.941834,0.030631,0.0044,0.342577,8.23903,8000,16,2,27.2
amazon-commerce-reviews,1457,0.381706,0.9055,0.252525,0.477453,0.304381,0.468402,0.142573,3.324112,1.834653,0.8072,3.912023,0.967742,1500,100,50,38.3
kc3,1069,0.326737,0.5899,0.113342,0.609691,0.049186,0.933291,0.045905,1.0,0.035691,0.007193,0.026712,231.916667,5589,36,2,15.5
mnist,554,0.107486,0.9669,0.086071,0.12519,0.274814,0.523393,0.143836,9.907986,0.661882,0.1566,2.300318,1.236034,8000,100,10,110.1
GesturePhaseSegmentation,1472,0.810425,0.9731,0.563023,0.916169,1.262159,0.447397,0.564686,9.0,2.066376,0.603733,3.155471,12.333333,750,9,30,9.4
fashion-mnist,40996,0.052437,0.8227,0.037391,0.080436,0.948834,0.512011,0.485814,10.16819,0.7147,0.292625,2.30213,1.101987,8000,100,10,124.7
sick,38,0.211737,0.938,0.152998,0.258296,0.002347,0.487749,0.001145,4.80795,0.105339,0.035525,0.230368,15.262931,3772,29,2,28.8
jm1,1053,0.084841,0.7061,0.051441,0.141155,0.007845,0.736264,0.005776,3.075232,0.454202,0.257575,0.494807,4.099426,8000,21,2,56.3
spect,336,0.132276,0.7778,0.052851,0.228321,0.055531,0.497376,0.02762,3.920563,0.358172,0.250187,0.508598,3.785714,267,22,2,6.6
dna,40670,0.102265,0.5594,-0.014011,0.176637,0.030396,0.50956,0.015488,12.475039,0.280711,0.298054,1.025716,2.159269,3186,100,3,27.0
musk1,1116,1.132742,0.933,0.886767,1.628847,0.013116,0.451804,0.005926,1.965534,0.557646,0.076538,0.42982,5.482318,6598,100,2,55.1
monks-2,334,0.362974,0.892,0.260371,0.493502,0.002716,0.500509,0.00136,6.0,0.699625,0.287188,0.642851,1.908213,601,6,2,7.3
tic-tac-toe,50,0.624004,0.9423,0.502794,0.876159,0.007041,0.499248,0.003515,3.406745,1.215152,0.202714,0.645288,1.87988,958,9,2,9.5
colic,25,0.099291,0.2084,-0.050011,0.268373,0.036742,0.517621,0.019019,4.711042,0.500107,0.263587,0.658724,1.693431,368,26,2,6.8
page-blocks,30,0.652994,0.9802,0.560581,0.722008,0.035169,0.805618,0.028333,3.283154,0.163742,0.04641,0.440469,169.413793,5473,10,5,31.3
wilt,40983,0.079283,0.6397,0.022622,0.136025,0.004174,0.422568,0.001764,4.591297,0.154115,0.023889,0.209948,17.473282,4839,5,2,26.7
har,1478,0.355985,0.9644,0.313899,0.402437,5.66936,0.582518,3.302504,7.932558,0.111306,0.109025,1.786059,1.358559,8000,100,6,133.7
analcatdata-dmft,962,0.475213,0.9579,0.427235,0.596386,0.150963,0.597063,0.090135,2.818059,0.574936,0.002,0.325083,8.955224,2000,6,2,9.7
analcatdata-authorship,458,0.599308,0.9577,0.495392,0.666801,0.300214,0.561602,0.168601,25.157576,0.027497,0.014744,1.238942,5.660714,841,70,4,5.9
robot-failures-lp2,1498,0.23941,0.7263,0.133636,0.358553,0.048828,0.533912,0.02607,6.408188,0.52917,0.374892,0.645139,1.875776,462,9,2,6.1
robot-failures-lp4,1500,0.449655,0.9372,0.390365,0.646729,1.824559,0.675409,1.232324,3.63408,0.235734,0.097143,1.098612,0.985915,210,7,3,4.5
cpu-act,197,0.212734,0.9903,0.162518,0.229342,0.500037,0.251333,0.125676,5.916574,2.533571,0.83285,3.436406,113.0,8000,21,49,116.3
shuttle,40685,0.765979,0.9412,0.634347,1.019447,0.007076,0.50987,0.003608,2.77642,0.131982,0.02035,0.661133,1048.5,8000,9,5,30.4
pol,722,0.446503,0.8672,0.332934,0.744245,0.024529,0.476441,0.011687,3.601452,0.299865,0.113375,0.638941,1.96773,8000,48,2,47.9
2dplanes,727,0.108331,0.8926,0.081544,0.174541,0.069211,0.533329,0.036912,2.926768,0.367041,0.142675,0.693147,1.00025,8000,10,2,65.9
user-knowledge,1508,0.815867,0.9529,0.649667,0.941305,0.282834,0.503925,0.142527,4.112524,0.527614,0.286849,1.418943,5.16,403,5,5,6.7
parity5+5,1016,0.991845,0.9808,0.879625,1.215018,0.058914,0.595574,0.035088,2.878079,0.14665,0.001818,0.304636,9.89011,990,12,2,8.3
monks-1,333,1.551927,0.9068,1.191149,2.515449,0.050483,0.523257,0.026416,6.0,0.738856,0.266547,0.693147,0.996416,556,6,2,7.0
connect-4,40668,0.22951,0.894,0.164528,0.339441,0.002637,0.494338,0.001303,4.788604,0.836044,0.4068,0.852698,6.619772,8000,42,3,64.1
pc3,1050,0.127644,0.7424,0.028508,0.182172,0.001015,0.545157,0.000553,1.581414,0.320503,0.139219,0.330253,8.714286,1563,37,2,13.9
porto-seguro,42742,-0.171848,0.9566,-0.220144,-0.14067,0.000605,0.526637,0.000319,21.098691,0.16643,0.06505,0.155838,26.494845,8000,57,2,37.9
